2026-09-07T09:38:48.5950677+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-07T09:38:48.6025169+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-07T09:38:48.6075794+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Dispose] TimerStress entered. Ticks so far: 24. WebView destroyed first: True.
2026-09-07T09:38:48.6525522+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Cleanup] TimerStress completed after 24 ticks.
2026-09-07T09:38:48.6531471+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Dispose] TimerStress returned after 45 ms. Timer stopped: True. Module disposed cleanly: True.
2026-09-07T09:38:48.8224937+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 12. GC heap: 11 MB. Working set: 280 MB.
2026-09-07T09:38:49.6801880+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 13.
2026-09-07T09:38:49.6808143+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with Blazor page. Cycle 13.
2026-09-07T09:38:49.6812302+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with Blazor page.
2026-09-07T09:38:50.9275179+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Module] TimerStress acquired JS module reference.
2026-09-07T09:38:53.8249740+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 13. GC heap: 14 MB. Working set: 287 MB.
2026-09-07T09:38:56.6004054+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 13.
2026-09-07T09:38:56.6014561+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-07T09:38:56.6088444+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-07T09:38:56.6114333+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Dispose] TimerStress entered. Ticks so far: 22. WebView destroyed first: True.
2026-09-07T09:38:56.6139308+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Cleanup] TimerStress completed after 22 ticks.
2026-09-07T09:38:56.6147138+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Dispose] TimerStress returned after 2 ms. Timer stopped: True. Module disposed cleanly: True.
2026-09-07T09:38:57.6322922+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 14.
2026-09-07T09:38:57.6330026+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with Blazor page. Cycle 14.
2026-09-07T09:38:57.6335638+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with Blazor page.
2026-09-07T09:38:58.8318306+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 14. GC heap: 9 MB. Working set: 281 MB.
2026-09-07T09:38:59.3054888+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Module] TimerStress acquired JS module reference.
2026-09-07T09:39:03.8224063+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 14. GC heap: 10 MB. Working set: 282 MB.
2026-09-07T09:39:05.0765735+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 14.
2026-09-07T09:39:05.0784304+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-07T09:39:05.0898059+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-07T09:39:05.0912763+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Dispose] TimerStress entered. Ticks so far: 23. WebView destroyed first: True.
2026-09-07T09:39:05.0951441+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Cleanup] TimerStress completed after 23 ticks.
2026-09-07T09:39:05.0966765+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Dispose] TimerStress returned after 3 ms. Timer stopped: True. Module disposed cleanly: True.
2026-09-07T09:39:05.9670479+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 15.
2026-09-07T09:39:05.9677568+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with Blazor page. Cycle 15.
2026-09-07T09:39:05.9685074+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with Blazor page.
2026-09-07T09:39:07.4201361+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Module] TimerStress acquired JS module reference.
2026-09-07T09:39:08.8308717+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 15. GC heap: 6 MB. Working set: 278 MB.
2026-09-07T09:39:13.5242038+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 15.
2026-09-07T09:39:13.5268989+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-07T09:39:13.5430827+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-07T09:39:13.5465810+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Dispose] TimerStress entered. Ticks so far: 24. WebView destroyed first: True.
2026-09-07T09:39:13.5517305+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Cleanup] TimerStress completed after 24 ticks.
2026-09-07T09:39:13.5533725+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Dispose] TimerStress returned after 5 ms. Timer stopped: True. Module disposed cleanly: True.
2026-09-07T09:39:13.8279203+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 15. GC heap: 7 MB. Working set: 279 MB.
2026-09-07T09:39:14.4969243+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 16.
2026-09-07T09:39:14.4983240+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with Blazor page. Cycle 16.
2026-09-07T09:39:14.4991910+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with Blazor page.
2026-09-07T09:39:16.4388817+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Module] TimerStress acquired JS module reference.
2026-09-07T09:39:18.8342659+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 16. GC heap: 10 MB. Working set: 285 MB.
2026-09-07T09:39:22.0431387+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 16.
2026-09-07T09:39:22.0439793+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-07T09:39:22.0548833+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-07T09:39:22.0565473+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Dispose] TimerStress entered. Ticks so far: 22. WebView destroyed first: True.
2026-09-07T09:39:22.0586384+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Cleanup] TimerStress completed after 22 ticks.
2026-09-07T09:39:22.0596222+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Dispose] TimerStress returned after 2 ms. Timer stopped: True. Module disposed cleanly: True.
2026-09-07T09:39:22.7859525+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 17.
2026-09-07T09:39:22.7872711+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with Blazor page. Cycle 17.
2026-09-07T09:39:22.7879675+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with Blazor page.
2026-09-07T09:39:23.8284671+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 17. GC heap: 12 MB. Working set: 286 MB.
2026-09-07T09:39:24.8384871+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Module] TimerStress acquired JS module reference.
2026-09-07T09:39:28.8257468+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 17. GC heap: 12 MB. Working set: 286 MB.
2026-09-07T09:39:31.2312459+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 17.
2026-09-07T09:39:31.2323054+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-07T09:39:31.2415541+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-07T09:39:31.2461354+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Dispose] TimerStress entered. Ticks so far: 25. WebView destroyed first: True.
2026-09-07T09:39:31.2518655+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Cleanup] TimerStress completed after 25 ticks.
2026-09-07T09:39:31.2532981+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Dispose] TimerStress returned after 5 ms. Timer stopped: True. Module disposed cleanly: True.
2026-09-07T09:39:32.2474596+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 18.
